registration_number_edessb,reason
EX01:1375-3849-8134-1906,"Зміна стадій проектування: first_design = 1, last_design = 2; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:1406-7899-6184-4446,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робоча документація (Р)"
EX01:1450-2331-2658-6108,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:1512-1864-0047-5134,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = проект (П), last_stage = робочий проект (РП)"
EX01:1585-2820-1523-3733,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = проект (П)"
EX01:1585-6540-8748-5228,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = проект (П), last_stage = проект (П)"
EX01:1635-1011-6679-8631,"Зміна стадій проектування: first_design = 2, last_design = 3; first_stage = проект (П), last_stage = проект (П)"
EX01:1782-3975-5308-4235,"Зміна стадій проектування: first_design = 3, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:1821-8392-8142-4175,"Зміна стадій проектування: first_design = 3, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:1826-9321-0187-4814,"Зміна стадій проектування: first_design = 1, last_design = 3; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:1877-5477-7005-3841,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = проект (П), last_stage = проект (П)"
EX01:1891-8430-3562-8988,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:1895-0012-0203-3919,"Зміна стадій проектування: first_design = 3, last_design = 3; first_stage = проект (П), last_stage = проект (П)"
EX01:1967-7052-2176-0040,"Зміна стадій проектування: first_design = 3, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:2151-3953-3960-1909,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = проект (П)"
EX01:2173-7456-1055-7342,"Зміна стадій проектування: first_design = 3, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:2196-1499-6843-8826,"Зміна стадій проектування: first_design = 3, last_design = 1; first_stage = ескізний проект (ЕП), last_stage = ескізний проект (ЕП)"
EX01:2202-6472-3624-9295,"Зміна стадій проектування: first_design = 3, last_design = 1; first_stage = техніко-економічне обґрунтування (ТЕО), last_stage = техніко-економічне обґрунтування (ТЕО)"
EX01:2393-9942-4583-4438,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = проект (П), last_stage = проект (П)"
EX01:2485-9794-1551-2384,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:2575-8863-5592-4405,"Зміна стадій проектування: first_design = 1, last_design = 2; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:2597-0077-8618-2228,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = проект (П), last_stage = робоча документація (Р)"
EX01:2673-6148-3024-1718,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = проект (П)"
EX01:2728-2048-4119-0717,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = проект (П), last_stage = проект (П)"
EX01:2738-0498-3769-6808,"Зміна стадій проектування: first_design = 3, last_design = 3; first_stage = проект (П), last_stage = проект (П)"
EX01:2741-2436-2409-7268,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = техніко-економічне обґрунтування (ТЕО)"
EX01:2825-2884-2134-4913,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = проект (П)"
EX01:2861-2947-3342-8437,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = проект (П), last_stage = робочий проект (РП)"
EX01:2932-8020-8014-6716,"Зміна стадій проектування: first_design = 1, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:3128-1757-8541-1592,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = робочий проект (РП), last_stage = техніко-економічний розрахунок (ТЕР)"
