;Column;Non-Null %
561;Сила струму, А (примітка);0.0
562;Корисна довжина  навантажувально-розвантажувальних колій , км;0.0
563;Корисна довжина  навантажувально-розвантажувальних колій , км (примітка);0.0
564;Річна кількість годин використання встановленої потужності, год (примітка);0.0
565;Приєднані викиди вуглецю пов’язані із спорудженням об’єкта, т СO2, (примітка);0.0
566;Приєднані витрати енергії, пов’язані із спорудженням об’єкта, МВт·год (примітка);0.0
567;Частка матеріалів в об’єкті, які можуть бути використані повторно, %, (примітка);0.0
568;Відсоток готовності конструктивних елементів: оздоблення зовнішнє,;0.0
569;Відсоток готовності конструктивних елементів: оздоблення зовнішнє, (примітка);0.0
570;Відсоток готовності конструктивних елементів: інженерне обладнання,;0.0
571;Магістральні лінії електропередачі на ділянці, пог.м (примітка);0.0
572;Площа з грунтовим покриттям, м2 (примітка);0.0
573;Площа під газонами звичайними, м2 (примітка);0.0
574;Площа під газонами луговими, м2 (примітка);0.0
575;Площа під газонами патерними, м2 (примітка);0.0
576;Площа під деревами, м2 (примітка);0.0
577;Площа під живоплотами, м2 (примітка);0.0
578;Площа під квітниками багаторічними, м2 (примітка);0.0
579;Площа під квітниками дворічними, м2 (примітка);0.0
580;Площа під квітниками однорічними, м2 (примітка);0.0
581;Площа під кущами, м2 (примітка);0.0
582;Площа під іншими угіддями, м2 (примітка);0.0
583;Річне виробництво, кВт·год;0.0
584;Відсоток готовності конструктивних елементів: інженерне обладнання, (примітка);0.0
585;Річний випуск основної номенклатури продукції, умов.од (примітка);0.0
586;Глибина, м (примітка);0.0
587;Капітальні витрати, тис.грн/МВт;0.0
588;Капітальні витрати, тис.грн/МВт (примітка);0.0
589;Пропускна спроможність, т комбік/доб;0.0
590;Пропускна спроможність, т комбік/доб (примітка);0.0
591;Кількість сходових кліток, од;0.0
592;Кількість сходових кліток, од (примітка);0.0
593;Відсоток готовності конструктивних елементів: покрівля,;0.0
594;Відсоток готовності конструктивних елементів: покрівля, (примітка);0.0
595;Кількість номерів III категорії, шт;0.0
596;Кількість номерів III категорії, шт (примітка);0.0
597;Річне виробництво, кВт·год (примітка);0.0
598;Розмітка проїзної частини, м (примітка);0.0
599;Середня ширина вулиці в червоних лініях, м (примітка);0.0
600;Сходи, пог.м (примітка);0.0
601;Транспортне огородження, м (примітка);0.0
602;Річна потреба в тепловій енергії, млн.Гкал (примітка);0.0
603;Питомий показник викидів парникових газів, кг/м2 (примітка);0.0
604;Питомий показник споживання первинної енергії (ep)-, кВт×год/м² (примітка);0.0
605;Кількість машиномісць для постійного зберігання автомобілів, од (примітка);0.0
606;Загальний показник питомого енергоспоживання при опаленні та  охолодженні (ЕPuse), кВт × год/м2 [кВт × год/м3], (примітка);0.0
607;Загальний об'єм підземного паркінгу, м3;0.0
608;Загальний об'єм підземного паркінгу, м3 (примітка);0.0
609;Віражі та їх ухили, од;0.0
610;Замощені підзори, пог.м;0.0
611;Максимальна ширина вулиці в червоних лініях, м;0.0
612;Мінімальна ширина вулиці в червоних лініях, м;0.0
613;Направляючі островки, од;0.0
614;Островки безпеки, од;0.0
615;Загальна площа трансформаторної підстанції, м2 (примітка);0.0
616;Підпорні стінки, пог.м;0.0
617;Середня ширина вулиці в червоних лініях, м;0.0
618;Сходи, пог.м;0.0
619;Транспортне огородження, м;0.0
620;Віражі та їх ухили, од (примітка);0.0
621;Замощені підзори, пог.м (примітка);0.0
622;Кількість переїздів, од (примітка);0.0
623;Максимальна ширина вулиці в червоних лініях, м (примітка);0.0
624;Мінімальна ширина вулиці в червоних лініях, м (примітка);0.0
625;Направляючі островки, од (примітка);0.0
626;Островки безпеки, од (примітка);0.0
627;Підпорні стінки, пог.м (примітка);0.0
628;Пішохідне огородження, м (примітка);0.0
629;Річна потреба в дощовій каналізаціїї, тис.м3;0.0
630;Річна потреба в дощовій каналізаціїї, тис.м3 (примітка);0.0
631;Функціональне призначення,;0.0
632;Кількість номерів Стандарт, номер І категорії, шт (примітка);0.0
633;Тиск, МПа;0.0
634;Тиск, МПа (примітка);0.0
635;Дорожні знаки, од (примітка);0.0
636;Умовний термін експлуатації, р. (примітка);0.0
637;Кількість перехресть, од (примітка);0.0
638;Магістральні телекомунікаційні лінії, пог.м;0.0
639;Місцеві газорозподільні системи, на ділянці, пог.м;0.0
640;Відсоток готовності об'єкта, (примітка);0.0
641;Питома вага конструктивних елементів - дверей,;0.0
642;Питома вага конструктивних елементів - дверей, (примітка);0.0
643;Площа під квітниками, м2;0.0
644;Площа під квітниками, м2 (примітка);0.0
645;Загальний об'єм трансформаторної підстанції, м3 (примітка);0.0
646;Кількість машиномісць для тимчасового зберігання, од (примітка);0.0
647;Загальна площа об'єкта зеленого господарства, м2 (примітка);0.0
648;Загальна ємність, м3 (примітка);0.0
649;Магістральні нафтопроводи та газопроводи на ділянці, пог.м (примітка);0.0
650;Магістральні телекомунікаційні лінії, пог.м (примітка);0.0
651;Місцеві газорозподільні системи, на ділянці, пог.м (примітка);0.0
652;Площа під водними об'єктами, м2 (примітка);0.0
653;Висота насипу за спорудою, м;0.0
654;Висота насипу перед спорудою, м;0.0
655;Отвір моста, м;0.0
656;Підмостовий габарит по висоті, м;0.0
657;Підмостовий габарит по ширині, м;0.0
658;Ширина проїзної частини за спорудою, м;0.0
659;Висота насипу за спорудою, м (примітка);0.0
660;Висота насипу перед спорудою, м (примітка);0.0
661;Габарит по висоті, м (примітка);0.0
662;Отвір моста, м (примітка);0.0
663;Протяжність об'єкта, м (примітка);0.0
664;Підмостовий габарит по висоті, м (примітка);0.0
665;Підмостовий габарит по ширині, м (примітка);0.0
666;Ширина проїзної частини за спорудою, м (примітка);0.0
667;Ширина проїзної частини перед спорудою, м (примітка);0.0
668;Довжина мереж дощової каналізації, м (примітка);0.0
669;Питома витрата умовного палива на 1ГДж відпущеної теплової енергії, т.у.п./ГДж (примітка);0.0
670;Стрілочний перевід, в тому числі, компл.;0.0
671;Стрілочний перевід, в тому числі, компл. (примітка);0.0
672;Річна потреба в гарячому водопостачанні, тис.м3;0.0
673;Річна потреба в гарячому водопостачанні, тис.м3 (примітка);0.0
674;Річний випуск основної номенклатури продукції, т;0.0
675;Річний випуск основної номенклатури продукції, т (примітка);0.0
676;Річна потреба нафтопродуктів, тис.т (примітка);0.0
677;Кількість машиномісць для осіб з інвалідністю, од (примітка);0.0
678;Термін експлуатації, міс (примітка);0.0
679;Площа з грунтовим покриттям, м2;0.0
680;Площа під газонами звичайними, м2;0.0
681;Площа під газонами луговими, м2;0.0
682;Площа під газонами патерними, м2;0.0
683;Площа під деревами, м2;0.0
684;Площа під живоплотами, м2;0.0
685;Площа під квітниками багаторічними, м2;0.0
686;Площа під квітниками дворічними, м2;0.0
687;Площа під квітниками однорічними, м2;0.0
688;Площа під кущами, м2;0.0
689;Площа під іншими угіддями, м2;0.0
690;Площа сходів та сходових кліток, м2 (примітка);0.0
691;Кількість номерів Напівлюкс, студіо, шт;0.0
692;Кількість номерів Напівлюкс, студіо, шт (примітка);0.0
693;Площа під'їздів, м2;0.0
694;Площа під'їздів, м2 (примітка);0.0
695;Кількість номерів Люкс, шт;0.0
696;Кількість номерів Люкс, шт (примітка);0.0
