;Column;Non-Null %
143;Опалювальний будівельний об'єм, м3;0.43
144;Площа літніх приміщень, м2 (примітка);0.43
145;Ширина проїзної частини, м;0.42
146;Пропускна спроможність, осіб/добу;0.42
147;Площа під основною будівлею, м2;0.4
148;Площа допоміжна нежитлова, м2 (примітка);0.4
149;Площа приміщень, що підлягають капітальному ремонту, м2;0.4
150;Площа під господарськими та допоміжними будівлями, м2;0.39
151;Загальна кількість квартир, од (примітка);0.38
152;Площа житлового будинку, м2;0.38
153;Умовна висота, м;0.36
154;Площа вбудованих нежитлових приміщень (вбудованих, вбудовано-прибудованих, прибудованих), м2 (примітка);0.33
155;Ширина проїжджої частини, м;0.31
156;Ширина земляного полотна, м;0.31
157;Загальна кількість машиномісць, од;0.3
158;Площа інших нежитлових приміщень, м2;0.3
159;Горище (технічне горище), од (примітка);0.29
160;Ширина узбіччя, м;0.29
161;Площа приміщень(місць) загального користування, м2;0.28
162;Загальна площа квартир у будинку, м2 (примітка);0.28
163;Місткість, од (примітка);0.28
164;Висота поверху, м (примітка);0.28
165;Площа місць загального користування, м2;0.27
166;Площа вбудованих, вбудовано-прибудованих та прибудованих приміщень, м2;0.27
167;Вартість основних фондів об’єкту будівництва, тис. грн;0.27
168;Витрати на охорону навколишнього природного середовища, відновлювальні та компенсаційні заходи, тис. грн;0.26
169;Середне значення років, р. (примітка);0.26
170;Загальна житлова площа квартир, м2 (примітка);0.25
171;Кількість двокімнатних квартир, од (примітка);0.25
172;Кількість однокімнатних квартир, од (примітка);0.25
173;Загальна площа нежитлових будівель об’єкта, м2;0.24
174;Загальна площа покриття, в тому числі, м2;0.24
175;Швидкість, км/год;0.24
176;Довжина ділянки, м;0.23
177;Довжина, м;0.23
178;Ступінь вогнестійкості об’єкту будівництва,;0.23
179;Розрахункова площа, м2 (примітка);0.23
180;Швидкість, км/год (примітка);0.23
181;Площа мощення, м2;0.22
182;Житлова площа двокімнатних квартир, м2 (примітка);0.22
183;Загальна площа однокімнатних квартир, м2 (примітка);0.22
184;Загальна площа двокімнатних квартир, м2 (примітка);0.22
185;Житлова площа однокімнатних квартир, м2 (примітка);0.22
186;Площа покриття проїзної частини, м2;0.22
187;Періодична кількість осіб на об`єкті, (примітка);0.21
188;Площа допоміжних приміщень загального користування, м2;0.21
189;Коефіцієнт амортизації відрахувань, коеф. (примітка);0.21
190;Термін першого планового обстеження технічного стану будівлі, міс;0.2
191;Вартість, тис. грн;0.2
192;Площа під спорудами, м2;0.2
193;Площа ділянки (га), (примітка);0.2
194;Об'єм будівлі, м3 (примітка);0.2
195;Площа забудови , га;0.2
196;Площа покриття даху, м2;0.2
197;Площа асфальтобетонного покриття проїздної частини, м2;0.2
198;Довжина ділянки дороги, що ремонтується, м;0.2
199;Площа інших нежитлових приміщень, м2 (примітка);0.19
200;Витрати на будівельні роботи, тис. грн;0.19
201;Кількість трикімнатних квартир, од (примітка);0.18
202;Коефіцієнт, що враховує відносну долю вартості об’єкта повністю втраченого під час аварії, коеф.;0.18
203;Найбільший поздовжній похил, град;0.17
204;Річна витрата електроенергії, тис. кВт-год/рік (примітка);0.17
205;Ступінь вогнестійкості будинку, (примітка);0.17
206;Бортові камені, пог.м;0.17
207;Житлова площа трикімнатних квартир, м2 (примітка);0.17
208;Кількість квартир, шт;0.17
209;Загальна площа трикімнатних квартир, м2 (примітка);0.16
210;Мінімальний розмір заробітної плати, тис. грн;0.16
211;Загальна кількість працюючих, осіб (примітка);0.16
212;Загальна площа під зеленими насадженнями (озеленення), м2;0.16
213;Житлова площа чотирикімнатних квартир, м2 (примітка);0.16
214;Трудомісткість будівництва, люд.-днів, од (примітка);0.16
215;Постійна кількість осіб на об`єкті, осіб (примітка);0.16
216;Висота будівлі (абсолютна позначка), м;0.16
217;Кількість чотирикімнатних квартир, од (примітка);0.15
218;Площа покриття з асфальтобетону, м2;0.15
